Epoch,OnTrack,Input_Left,Input_Right,Reservoir,Output_Left,Output_Right
0,4,99,99,0,0,0
1,4,99,99,0,0,0
2,4,99,99,0,0,0
3,6,99,99,0,0,0
4,6,99,99,0,0,0
5,8,98,98,0,0,0
6,10,98,98,0,0,0
7,10,98,98,0,0,0
8,10,98,98,0,0,0
9,12,98,98,0,0,0
10,14,97,97,0,0,0
11,14,97,97,0,0,0
12,14,97,97,0,0,0
13,14,97,97,0,0,0
14,14,97,97,0,0,0
15,13,96,96,3,0,0
16,14,96,96,0,0,0
17,14,96,96,0,0,0
18,14,96,96,0,0,0
19,14,96,96,0,0,0
20,16,95,95,0,0,0
21,16,95,95,0,0,0
22,16,95,95,0,0,0
23,16,95,95,0,0,0
24,16,95,95,0,0,1
25,17,94,94,0,1,1
26,17,94,94,0,1,1
27,19,94,94,0,1,1
28,18,94,94,0,1,1
29,17,94,94,0,1,2
30,17,93,93,3,2,2
31,18,93,93,0,2,2
32,18,93,93,0,2,2
33,18,93,93,0,2,2
34,17,93,93,0,2,3
35,18,92,92,0,3,3
36,19,92,92,0,3,3
37,18,92,92,0,3,3
38,18,92,92,0,3,3
39,18,92,92,0,3,3
40,19,91,91,0,4,3
41,18,91,91,0,4,4
42,19,91,91,0,4,4
43,18,91,91,0,4,4
44,17,91,91,0,4,5
45,17,90,90,3,5,5
46,18,90,90,0,5,5
47,18,90,90,0,5,5
48,19,90,90,0,5,5
49,17,90,90,0,5,6
50,17,89,89,3,6,6
51,17,89,89,3,6,6
52,18,89,89,0,6,6
53,18,89,89,0,6,6
54,17,89,89,3,6,6
55,17,88,88,3,7,7
56,18,88,88,0,7,7
57,19,88,88,0,7,7
58,18,88,88,0,7,7
59,17,88,88,0,7,8
60,17,87,87,3,8,8
61,18,87,87,0,8,8
62,18,87,87,0,8,8
63,18,87,87,0,8,8
64,17,87,87,0,8,9
65,17,86,86,3,9,9
66,19,86,86,0,9,9
67,18,86,86,0,9,9
68,18,86,86,0,9,9
69,19,86,86,0,9,9
70,18,85,85,3,9,10
71,19,85,85,0,9,10
72,17,85,85,3,10,10
73,18,85,85,0,10,10
74,17,85,85,0,10,11
75,18,84,84,3,10,11
76,19,84,84,0,10,11
77,18,84,84,3,10,11
78,20,84,84,3,10,11
79,18,84,84,0,11,11
80,18,83,83,3,12,11
81,17,83,83,3,12,12
82,18,83,83,0,12,12
83,18,83,83,0,12,12
84,19,83,83,0,12,12
85,18,82,82,3,12,13
86,17,82,82,0,13,13
87,17,82,82,0,13,13
88,17,82,82,0,13,13
89,17,82,82,0,13,13
90,16,81,81,6,14,13
91,17,81,81,0,14,13
92,17,81,81,0,14,13
93,18,81,81,0,14,13
94,17,81,81,0,14,14
95,18,80,80,0,14,14
96,18,80,80,0,15,14
97,17,80,80,0,15,14
98,17,80,80,0,15,14
99,18,80,80,0,15,14
