Epoch,OnTrack,Input_Left,Input_Right,Reservoir,Output_Left,Output_Right
0,2,99,99,0,0,0
1,2,99,99,0,0,0
2,2,99,99,0,0,0
3,4,98,98,0,0,0
4,4,98,98,0,0,0
5,4,98,98,0,0,0
6,6,97,97,0,0,0
7,6,97,97,0,0,0
8,6,97,97,0,0,0
9,8,96,96,0,0,0
10,8,96,96,0,0,0
11,8,96,96,0,0,0
12,8,95,95,0,1,1
13,8,95,95,0,1,1
14,8,95,95,0,1,1
15,6,94,94,0,2,2
16,6,94,94,0,2,2
17,6,94,94,0,2,2
18,6,93,93,0,3,3
19,6,93,93,0,3,3
20,6,93,93,0,3,3
21,6,92,92,0,4,4
22,6,92,92,0,4,4
23,6,92,92,0,4,4
24,7,91,91,0,5,4
25,7,91,91,0,5,4
26,7,91,91,0,5,4
27,9,90,90,0,5,4
28,8,90,90,0,5,5
29,8,90,90,0,5,5
30,7,89,89,3,6,6
31,8,89,89,0,6,6
32,8,89,89,0,6,6
33,8,88,88,0,7,7
34,8,88,88,0,7,7
35,8,88,88,0,7,7
36,9,87,87,0,7,8
37,8,87,87,0,8,8
38,8,87,87,0,8,8
39,8,86,86,0,9,9
40,8,86,86,0,9,9
41,8,86,86,0,9,9
42,9,85,85,0,9,10
43,8,85,85,0,10,10
44,8,85,85,0,10,10
45,8,84,84,0,11,11
46,8,84,84,0,11,11
47,8,84,84,0,11,11
48,9,83,83,0,12,11
49,8,83,83,0,12,12
50,8,83,83,0,12,12
51,8,82,82,0,13,13
52,8,82,82,0,13,13
53,8,82,82,0,13,13
54,7,81,81,3,14,14
55,8,81,81,0,14,14
56,8,81,81,0,14,14
57,9,80,80,0,14,15
58,8,80,80,0,15,15
59,8,80,80,0,15,15
60,8,79,79,0,16,16
61,8,79,79,0,16,16
62,8,79,79,0,16,16
63,8,78,78,0,17,17
64,8,78,78,0,17,17
65,8,78,78,0,17,17
66,9,77,77,0,17,18
67,8,77,77,0,18,18
68,8,77,77,0,18,18
69,9,76,76,0,19,18
70,8,76,76,0,19,19
71,8,76,76,0,19,19
72,7,75,75,3,20,20
73,8,75,75,0,20,20
74,8,75,75,0,20,20
75,8,74,74,0,21,21
76,8,74,74,0,21,21
77,8,74,74,0,21,21
78,10,73,73,0,21,21
79,8,73,73,0,22,22
80,8,73,73,0,22,22
81,7,72,72,3,23,23
82,8,72,72,0,23,23
83,8,72,72,0,23,23
84,9,71,71,0,24,23
85,9,71,71,0,24,23
86,8,71,71,0,24,24
87,8,70,70,0,25,25
88,8,70,70,0,25,25
89,8,70,70,0,25,25
90,7,69,69,3,26,26
91,8,69,69,0,26,26
92,8,69,69,0,26,26
93,9,68,68,0,27,26
94,9,68,68,0,27,26
95,8,68,68,0,27,27
96,9,67,67,0,28,27
97,8,67,67,0,28,28
98,8,67,67,0,28,28
99,9,66,66,0,29,28
