Epoch,OnTrack,Input_Left,Input_Right,Reservoir,Output_Left,Output_Right
0,1,99,99,3,0,0
1,2,99,99,0,0,0
2,2,99,99,0,0,0
3,2,99,99,0,0,0
4,2,99,99,0,0,0
5,4,98,98,0,0,0
6,4,98,98,0,0,0
7,4,98,98,0,0,0
8,4,98,98,0,0,0
9,4,98,98,0,0,0
10,6,97,97,0,0,0
11,6,97,97,0,0,0
12,6,97,97,0,0,0
13,6,97,97,0,0,0
14,6,97,97,0,0,0
15,8,96,96,0,0,0
16,8,96,96,0,0,0
17,8,96,96,0,0,0
18,8,96,96,0,0,0
19,8,96,96,0,0,0
20,8,95,95,6,0,0
21,10,95,95,0,0,0
22,10,95,95,0,0,0
23,10,95,95,0,0,0
24,10,95,95,0,0,0
25,11,94,94,0,1,0
26,10,94,94,0,1,1
27,10,94,94,0,1,1
28,10,94,94,0,1,1
29,9,94,94,0,1,2
30,9,93,93,3,2,2
31,9,93,93,3,2,2
32,10,93,93,0,2,2
33,10,93,93,0,2,2
34,10,93,93,0,2,2
35,9,92,92,3,3,3
36,10,92,92,0,3,3
37,10,92,92,0,3,3
38,10,92,92,0,3,3
39,10,92,92,0,3,3
40,10,91,91,0,4,4
41,10,91,91,0,4,4
42,10,91,91,0,4,4
43,10,91,91,0,4,4
44,10,91,91,0,4,4
45,12,90,90,0,4,4
46,11,90,90,0,4,5
47,10,90,90,0,5,5
48,10,90,90,0,5,5
49,9,90,90,0,5,6
50,10,89,89,0,6,6
51,10,89,89,0,6,6
52,10,89,89,0,6,6
53,10,89,89,0,6,6
54,9,89,89,0,6,7
55,11,88,88,0,6,7
56,11,88,88,0,6,7
57,11,88,88,0,6,7
58,10,88,88,0,7,7
59,9,88,88,0,7,8
60,10,87,87,3,7,8
61,11,87,87,0,7,8
62,10,87,87,0,8,8
63,10,87,87,0,8,8
64,9,87,87,0,8,9
65,10,86,86,3,8,9
66,10,86,86,0,9,9
67,10,86,86,0,9,9
68,10,86,86,0,9,9
69,10,86,86,0,9,9
70,11,85,85,0,9,10
71,11,85,85,0,9,10
72,10,85,85,0,10,10
73,10,85,85,0,10,10
74,9,85,85,0,10,11
75,9,84,84,3,11,11
76,10,84,84,0,11,11
77,10,84,84,0,11,11
78,10,84,84,0,11,11
79,10,84,84,0,11,11
80,10,83,83,0,12,12
81,10,83,83,0,12,12
82,10,83,83,0,12,12
83,10,83,83,0,12,12
84,10,83,83,0,12,12
85,10,82,82,6,12,12
86,9,82,82,3,13,13
87,10,82,82,0,13,13
88,10,82,82,0,13,13
89,10,82,82,0,13,13
90,8,81,81,6,14,14
91,10,81,81,0,14,14
92,9,81,81,3,14,14
93,9,81,81,3,14,14
94,9,81,81,0,14,15
95,10,80,80,0,15,15
96,10,80,80,0,15,15
97,10,80,80,0,15,15
98,10,80,80,0,15,15
99,9,80,80,0,15,16
