Epoch,OnTrack,Input_Left,Input_Right,Reservoir,Output_Left,Output_Right
0,3,99,99,3,0,0
1,4,99,99,0,0,0
2,4,99,99,0,0,0
3,6,98,98,0,0,0
4,6,98,98,0,0,0
5,8,98,98,0,0,0
6,10,97,97,0,0,0
7,10,97,97,0,0,0
8,10,97,97,0,0,0
9,12,96,96,0,0,0
10,14,96,96,0,0,0
11,14,96,96,0,0,0
12,14,95,95,0,1,1
13,14,95,95,0,1,1
14,14,95,95,0,1,1
15,15,94,94,3,2,2
16,16,94,94,0,2,2
17,16,94,94,0,2,2
18,15,93,93,3,3,3
19,16,93,93,0,3,3
20,16,93,93,6,3,3
21,18,92,92,3,3,4
22,18,92,92,0,4,4
23,18,92,92,0,4,4
24,19,91,91,0,4,5
25,19,91,91,0,5,5
26,18,91,91,0,5,5
27,19,90,90,0,5,6
28,19,90,90,0,5,6
29,17,90,90,0,6,6
30,18,89,89,3,6,7
31,17,89,89,3,7,7
32,18,89,89,0,7,7
33,20,88,88,0,7,7
34,20,88,88,0,7,7
35,17,88,88,3,8,8
36,18,87,87,3,9,8
37,18,87,87,0,9,9
38,18,87,87,0,9,9
39,19,86,86,0,9,10
40,18,86,86,0,10,10
41,18,86,86,0,10,10
42,18,85,85,0,11,11
43,18,85,85,0,11,11
44,18,85,85,0,11,11
45,20,84,84,0,12,12
46,19,84,84,0,12,12
47,18,84,84,0,12,12
48,19,83,83,0,13,12
49,17,83,83,0,13,13
50,18,83,83,0,13,13
51,18,82,82,0,14,14
52,18,82,82,0,14,14
53,18,82,82,0,14,14
54,17,81,81,0,15,15
55,19,81,81,0,15,15
56,19,81,81,0,15,15
57,20,80,80,0,15,16
58,18,80,80,0,16,16
59,17,80,80,0,16,16
60,17,79,79,6,17,17
61,19,79,79,0,17,17
62,18,79,79,0,17,17
63,18,78,78,0,18,18
64,17,78,78,0,18,18
65,18,78,78,3,18,18
66,16,77,77,6,19,19
67,18,77,77,0,19,19
68,18,77,77,0,19,19
69,18,76,76,0,20,20
70,19,76,76,0,20,20
71,19,76,76,0,20,20
72,18,75,75,3,20,21
73,19,75,75,0,20,21
74,17,75,75,0,21,21
75,17,74,74,3,22,22
76,18,74,74,0,22,22
77,18,74,74,0,22,22
78,20,73,73,0,22,22
79,20,73,73,0,22,22
80,18,73,73,0,23,23
81,18,72,72,0,24,24
82,18,72,72,0,24,24
83,18,72,72,0,24,24
84,18,71,71,3,24,25
85,18,71,71,9,24,25
86,16,71,71,6,25,25
87,18,70,70,0,26,26
88,18,70,70,0,26,26
89,18,70,70,0,26,26
90,17,69,69,6,27,26
91,18,69,69,0,27,27
92,17,69,69,3,27,27
93,17,68,68,6,28,27
94,17,68,68,0,28,28
95,18,68,68,0,28,28
96,19,67,67,0,28,29
97,19,67,67,0,28,29
98,19,67,67,0,28,29
99,18,66,66,3,29,29
