Epoch,OnTrack,Input_Left,Input_Right,Reservoir,Output_Left,Output_Right
225,76,54,54,6,0,0
226,78,54,54,0,0,0
227,77,54,54,3,0,0
228,76,54,54,6,0,0
229,77,54,54,3,0,0
230,78,53,53,6,0,0
231,79,53,53,3,0,0
232,79,53,53,3,0,0
233,79,53,53,3,0,0
234,78,53,53,6,0,0
235,80,52,52,6,0,0
236,80,52,52,6,0,0
237,81,52,52,3,0,0
238,80,52,52,6,0,0
239,79,52,52,9,0,0
240,81,51,51,9,0,0
241,83,51,51,3,0,0
242,84,51,51,0,0,0
243,84,51,51,0,0,0
244,84,51,51,0,0,0
245,85,50,50,3,0,0
246,84,50,50,6,0,0
247,86,50,50,0,0,0
248,85,50,50,3,0,0
249,85,50,50,3,0,0
250,85,49,49,9,0,0
251,88,49,49,0,0,0
252,86,49,49,6,0,0
253,87,49,49,3,0,0
254,87,49,49,0,0,0
255,86,48,48,6,0,0
256,85,48,48,6,0,0
257,86,48,48,3,0,0
258,87,48,48,0,0,0
259,87,48,48,0,0,0
260,87,47,47,6,0,0
261,87,47,47,6,0,0
262,88,47,47,3,0,0
263,89,47,47,0,0,0
264,89,47,47,0,0,0
265,90,46,46,3,0,0
266,90,46,46,3,0,0
267,89,46,46,6,0,0
268,90,46,46,3,0,0
269,91,46,46,0,0,0
270,92,45,45,3,0,0
271,93,45,45,0,0,0
272,92,45,45,3,0,0
273,93,45,45,0,0,0
274,92,45,45,3,0,0
275,93,44,44,6,0,0
276,93,44,44,6,0,0
277,95,44,44,0,0,0
278,93,44,44,3,0,0
279,93,44,44,3,0,0
280,93,43,43,9,0,0
281,95,43,43,3,0,0
282,95,43,43,3,0,0
283,94,43,43,6,0,0
284,94,43,43,6,0,0
285,97,42,42,3,0,0
286,96,42,42,3,0,0
287,95,42,42,6,0,0
288,95,42,42,3,0,0
289,95,42,42,3,0,0
290,98,41,41,0,0,0
291,96,41,41,6,0,0
292,96,41,41,6,0,0
293,97,41,41,3,0,0
294,97,41,41,3,0,0
295,98,40,40,6,0,0
296,99,40,40,3,0,0
297,98,40,40,6,0,0
298,98,40,40,6,0,0
299,99,40,40,3,0,0
300,100,39,39,6,0,0
301,101,39,39,3,0,0
302,101,39,39,3,0,0
303,102,39,39,0,0,0
304,101,39,39,3,0,0
305,103,38,38,3,0,0
306,104,38,38,0,0,0
307,102,38,38,3,0,0
308,102,38,38,3,0,0
309,103,38,38,0,0,0
310,102,37,37,9,0,0
311,105,37,37,0,0,0
312,104,37,37,3,0,0
313,105,37,37,0,0,0
314,103,37,37,6,0,0
315,106,36,36,3,0,0
316,105,36,36,6,0,0
317,107,36,36,0,0,0
318,106,36,36,3,0,0
319,107,36,36,0,0,0
320,108,35,35,0,0,0
321,107,35,35,3,0,0
322,108,35,35,0,0,0
323,107,35,35,3,0,0
324,108,35,35,0,0,0
325,108,34,34,6,0,0
326,108,34,34,3,0,0
327,109,34,34,0,0,0
328,109,34,34,0,0,0
329,109,34,34,0,0,0
330,110,33,33,3,0,0
331,109,33,33,6,0,0
332,110,33,33,3,0,0
333,110,33,33,3,0,0
334,111,33,33,0,0,0
335,112,32,32,3,0,0
336,112,32,32,3,0,0
337,112,32,32,3,0,0
338,112,32,32,3,0,0
339,113,32,32,0,0,0
340,114,31,31,3,0,0
341,114,31,31,3,0,0
342,114,31,31,3,0,0
343,115,31,31,0,0,0
344,115,31,31,0,0,0
345,117,30,30,0,0,0
346,116,30,30,3,0,0
347,116,30,30,3,0,0
348,117,30,30,0,0,0
349,117,30,30,0,0,0
350,118,29,29,3,0,0
351,118,29,29,3,0,0
352,119,29,29,0,0,0
353,119,29,29,0,0,0
354,119,29,29,0,0,0
355,120,28,28,3,0,0
356,121,28,28,0,0,0
357,120,28,28,3,0,0
358,120,28,28,3,0,0
359,120,28,28,3,0,0
360,121,27,27,6,0,0
361,123,27,27,0,0,0
362,121,27,27,6,0,0
363,122,27,27,3,0,0
364,123,27,27,0,0,0
365,123,26,26,6,0,0
366,125,26,26,0,0,0
367,124,26,26,3,0,0
368,125,26,26,0,0,0
369,124,26,26,3,0,0
370,125,25,25,3,0,0
371,126,25,25,0,0,0
372,126,25,25,0,0,0
373,125,25,25,3,0,0
374,126,25,25,0,0,0
375,125,24,24,9,0,0
376,127,24,24,3,0,0
377,127,24,24,3,0,0
378,128,24,24,0,0,0
379,128,24,24,0,0,0
380,128,23,23,6,0,0
381,129,23,23,3,0,0
382,130,23,23,0,0,0
383,129,23,23,3,0,0
