Epoch,OnTrack,Input_Left,Input_Right,Reservoir,Output_Left,Output_Right
225,221,24,24,9,0,0
226,222,24,24,6,0,0
227,222,24,24,6,0,0
228,222,23,23,12,0,0
229,225,23,23,3,0,0
230,224,23,23,9,0,0
231,227,22,22,6,0,0
232,227,22,22,6,0,0
233,228,22,22,3,0,0
234,227,21,21,12,0,0
235,230,21,21,9,0,0
236,230,21,21,9,0,0
237,233,20,20,6,0,0
238,233,20,20,6,0,0
239,232,20,20,9,0,0
240,236,19,19,9,0,0
241,237,19,19,6,0,0
242,239,19,19,0,0,0
243,240,18,18,3,0,0
244,240,18,18,0,0,0
245,239,18,18,9,0,0
246,242,17,17,6,0,0
247,244,17,17,0,0,0
248,242,17,17,6,0,0
249,241,16,16,9,1,1
250,243,16,16,9,1,1
251,245,16,16,3,1,1
252,243,15,15,9,2,2
253,244,15,15,6,2,2
254,245,15,15,0,2,2
255,243,14,14,9,3,3
256,243,14,14,6,3,3
257,243,14,14,3,3,3
258,244,13,13,0,4,4
259,243,13,13,3,4,4
260,244,13,13,6,4,4
261,243,12,12,9,5,5
262,245,12,12,3,5,5
263,245,12,12,3,5,5
264,246,11,11,3,5,6
265,247,11,11,3,6,6
266,246,11,11,6,6,6
267,246,10,10,9,6,7
268,247,10,10,6,6,7
269,248,10,10,0,7,7
270,249,9,9,3,7,8
271,250,9,9,0,7,8
272,248,9,9,3,8,8
273,247,8,8,6,9,9
274,246,8,8,9,9,9
275,248,8,8,9,9,9
276,250,7,7,6,10,9
277,250,7,7,3,10,9
278,248,7,7,3,10,10
279,247,6,6,3,11,11
280,247,6,6,9,11,11
281,248,6,6,6,11,11
282,249,5,5,6,12,11
283,247,5,5,12,12,11
284,248,5,5,9,12,11
285,252,4,4,6,13,11
286,250,4,4,6,13,12
287,250,4,4,6,13,12
288,249,3,3,9,13,13
289,251,3,3,3,13,13
290,254,3,3,0,13,13
291,252,2,2,6,14,14
292,250,2,2,12,14,14
293,252,2,2,6,14,14
294,253,1,1,6,15,14
295,253,1,1,6,16,14
296,253,1,1,3,16,15
297,252,0,0,12,16,15
298,253,0,0,6,16,16
299,253,0,0,3,17,16
300,254,0,0,6,17,16
301,253,0,0,3,18,17
302,253,0,0,3,18,17
303,253,0,0,0,18,18
304,252,0,0,3,18,18
305,253,0,0,3,19,18
306,254,0,0,0,19,18
307,252,0,0,3,19,18
308,251,0,0,3,19,19
309,251,0,0,0,19,20
310,250,0,0,9,19,20
311,251,0,0,0,20,20
312,249,0,0,3,21,20
313,250,0,0,0,21,20
314,248,0,0,6,21,20
315,250,0,0,3,21,21
316,248,0,0,6,22,21
317,250,0,0,0,22,21
318,248,0,0,3,22,22
319,248,0,0,0,22,23
320,249,0,0,0,22,23
321,246,0,0,3,23,24
322,247,0,0,0,23,24
323,245,0,0,3,24,24
324,245,0,0,0,25,24
325,244,0,0,6,25,25
326,244,0,0,3,25,25
327,243,0,0,0,26,25
328,243,0,0,0,26,25
329,243,0,0,0,26,25
330,243,0,0,3,26,25
331,241,0,0,6,26,26
332,240,0,0,3,27,27
333,240,0,0,3,27,27
334,240,0,0,0,28,27
335,241,0,0,3,28,27
336,239,0,0,3,29,28
337,239,0,0,3,29,28
338,239,0,0,3,29,28
339,240,0,0,0,29,28
340,241,0,0,3,29,28
341,239,0,0,3,30,29
342,238,0,0,3,31,29
343,238,0,0,0,31,30
344,237,0,0,0,31,31
345,237,0,0,0,32,32
346,236,0,0,3,32,32
347,236,0,0,3,32,32
348,236,0,0,0,32,33
349,236,0,0,0,32,33
350,236,0,0,3,33,33
351,236,0,0,3,33,33
352,237,0,0,0,33,33
353,236,0,0,0,34,33
354,235,0,0,0,34,34
355,234,0,0,3,35,35
356,235,0,0,0,35,35
357,233,0,0,3,36,35
358,233,0,0,3,36,35
359,232,0,0,3,36,36
360,233,0,0,6,36,36
361,234,0,0,0,36,37
362,231,0,0,6,37,37
363,232,0,0,3,37,37
364,233,0,0,0,37,37
365,233,0,0,6,37,37
366,235,0,0,0,37,37
367,233,0,0,3,37,38
368,234,0,0,0,37,38
369,231,0,0,3,38,39
370,232,0,0,3,38,39
371,231,0,0,3,39,39
372,231,0,0,0,40,39
373,230,0,0,3,40,39
374,231,0,0,0,40,39
375,229,0,0,9,40,40
376,230,0,0,3,41,40
377,228,0,0,3,42,41
378,229,0,0,0,42,41
379,227,0,0,3,42,42
380,228,0,0,6,42,42
381,228,0,0,3,43,42
382,227,0,0,0,44,43
383,225,0,0,6,44,43
384,227,0,0,0,44,43
385,225,0,0,6,45,44
386,227,0,0,0,45,44
387,224,0,0,3,46,45
388,225,0,0,0,46,45
389,225,0,0,0,46,45
390,227,0,0,0,46,45
391,227,0,0,0,46,45
392,227,0,0,0,46,45
393,225,0,0,0,47,46
394,224,0,0,0,48,46
395,223,0,0,3,48,46
396,224,0,0,0,48,46
397,223,0,0,0,49,46
398,223,0,0,0,49,46
399,222,0,0,0,49,47
400,223,0,0,0,50,47
401,221,0,0,3,50,48
402,222,0,0,0,50,48
403,222,0,0,0,50,48
404,221,0,0,0,51,48
405,220,0,0,6,51,48
406,221,0,0,0,51,49
407,220,0,0,0,52,49
408,219,0,0,0,52,50
409,218,0,0,0,52,51
410,219,0,0,0,53,51
411,217,0,0,3,53,52
412,218,0,0,0,53,52
413,217,0,0,3,53,52
414,216,0,0,3,54,52
415,216,0,0,6,54,53
416,216,0,0,0,55,53
417,214,0,0,3,56,53
418,215,0,0,0,56,53
419,215,0,0,0,56,53
420,215,0,0,6,56,53
421,216,0,0,3,56,53
422,214,0,0,6,56,54
423,215,0,0,0,57,54
424,215,0,0,0,57,54
425,216,0,0,0,57,55
426,216,0,0,0,57,55
427,215,0,0,0,58,55
428,214,0,0,0,59,55
429,214,0,0,0,59,55
430,214,0,0,3,60,55
431,215,0,0,0,60,55
432,214,0,0,0,61,55
433,213,0,0,3,61,55
434,213,0,0,0,61,56
435,213,0,0,6,61,56
436,215,0,0,0,61,56
437,214,0,0,0,61,57
438,213,0,0,0,62,57
439,212,0,0,0,62,58
440,213,0,0,3,62,58
441,213,0,0,0,63,58
442,211,0,0,3,64,58
443,212,0,0,0,64,58
444,211,0,0,0,65,58
445,211,0,0,3,65,59
446,212,0,0,0,65,59
447,211,0,0,0,65,60
448,210,0,0,0,66,60
449,210,0,0,0,66,60
450,210,0,0,6,66,60
451,210,0,0,3,66,61
452,211,0,0,0,66,61
453,210,0,0,3,66,61
454,211,0,0,0,66,61
455,212,0,0,3,66,61
456,212,0,0,0,67,61
457,211,0,0,3,67,61
458,212,0,0,0,67,61
459,212,0,0,0,67,61
460,213,0,0,3,67,61
461,212,0,0,0,68,62
462,211,0,0,0,68,63
463,211,0,0,0,68,63
464,210,0,0,0,69,63
465,210,0,0,3,69,64
466,210,0,0,3,69,64
467,211,0,0,0,69,64
468,210,0,0,0,70,64
469,209,0,0,0,70,65
470,211,0,0,0,70,65
471,210,0,0,0,71,65
472,209,0,0,0,72,65
473,209,0,0,0,72,65
474,209,0,0,0,72,65
475,211,0,0,0,72,65
476,211,0,0,0,72,65
477,210,0,0,0,73,65
478,209,0,0,0,74,65
479,208,0,0,0,74,66
480,209,0,0,3,74,66
481,210,0,0,0,74,66
482,210,0,0,0,74,66
483,209,0,0,0,75,66
484,207,0,0,0,76,67
485,208,0,0,3,76,67
486,209,0,0,0,76,67
487,207,0,0,0,76,68
488,206,0,0,0,77,68
489,206,0,0,0,77,68
490,205,0,0,6,77,69
491,205,0,0,0,78,70
492,205,0,0,0,78,70
493,205,0,0,0,78,70
494,205,0,0,0,78,70
495,205,0,0,0,78,71
496,203,0,0,3,79,71
497,204,0,0,0,79,71
498,203,0,0,0,80,71
499,202,0,0,0,81,71
500,200,0,0,0,81,71
501,200,0,0,0,81,71
502,199,0,0,0,81,72
503,199,0,0,0,81,72
504,196,0,0,0,82,73
505,195,0,0,0,82,74
506,193,0,0,0,83,74
507,193,0,0,0,83,74
508,192,0,0,0,84,74
509,192,0,0,0,84,74
510,189,0,0,0,85,75
511,189,0,0,0,85,75
512,189,0,0,0,85,75
513,189,0,0,0,85,75
514,188,0,0,0,85,76
515,188,0,0,0,85,76
516,187,0,0,0,86,76
517,185,0,0,0,86,77
518,185,0,0,0,86,77
519,183,0,0,0,87,77
520,183,0,0,0,87,77
521,182,0,0,0,87,77
522,182,0,0,0,87,77
523,181,0,0,0,87,78
524,181,0,0,0,87,78
525,179,0,0,0,87,79
526,178,0,0,0,88,79
527,177,0,0,0,88,80
528,176,0,0,0,89,80
529,176,0,0,0,89,80
530,175,0,0,0,90,80
531,175,0,0,0,90,80
532,175,0,0,0,90,80
533,175,0,0,0,90,80
534,174,0,0,0,90,81
535,173,0,0,0,91,81
536,173,0,0,0,91,81
537,171,0,0,0,92,81
538,171,0,0,0,92,81
539,170,0,0,0,92,82
540,170,0,0,0,92,82
541,169,0,0,0,93,82
542,169,0,0,0,93,82
543,169,0,0,0,93,82
544,169,0,0,0,93,82
545,168,0,0,0,94,82
546,167,0,0,0,94,83
547,165,0,0,0,95,84
548,165,0,0,0,95,84
549,164,0,0,0,95,84
550,163,0,0,0,96,84
551,163,0,0,0,96,84
552,162,0,0,0,96,84
553,162,0,0,0,96,84
554,162,0,0,0,96,84
555,162,0,0,0,96,84
556,162,0,0,0,96,84
557,162,0,0,0,96,84
558,160,0,0,0,96,84
559,160,0,0,0,96,84
560,159,0,0,0,96,84
561,159,0,0,0,96,84
562,159,0,0,0,96,84
563,159,0,0,0,96,84
564,159,0,0,0,96,84
565,158,0,0,0,96,84
566,158,0,0,0,96,84
567,158,0,0,0,96,84
568,158,0,0,0,96,84
569,158,0,0,0,96,84
570,156,0,0,0,96,84
571,156,0,0,0,96,84
572,155,0,0,0,96,84
573,155,0,0,0,96,84
574,155,0,0,0,96,84
575,155,0,0,0,96,84
576,155,0,0,0,96,84
577,154,0,0,0,96,84
578,154,0,0,0,96,84
579,154,0,0,0,96,84
580,154,0,0,0,96,84
581,153,0,0,0,96,84
582,152,0,0,0,96,84
583,152,0,0,0,96,84
584,152,0,0,0,96,84
585,151,0,0,0,96,84
586,151,0,0,0,96,84
587,151,0,0,0,96,84
588,151,0,0,0,96,84
589,151,0,0,0,96,84
590,150,0,0,0,96,84
591,149,0,0,0,96,84
592,149,0,0,0,96,84
593,148,0,0,0,96,84
594,148,0,0,0,96,84
595,147,0,0,0,96,84
596,147,0,0,0,96,84
597,147,0,0,0,96,84
598,147,0,0,0,96,84
599,146,0,0,0,96,84
600,144,0,0,0,96,84
601,144,0,0,0,96,84
602,144,0,0,0,96,84
603,144,0,0,0,96,84
604,144,0,0,0,96,84
605,144,0,0,0,96,84
606,144,0,0,0,96,84
607,143,0,0,0,96,84
608,143,0,0,0,96,84
609,143,0,0,0,96,84
610,143,0,0,0,96,84
611,142,0,0,0,96,84
612,142,0,0,0,96,84
613,142,0,0,0,96,84
614,142,0,0,0,96,84
615,141,0,0,0,96,84
616,140,0,0,0,96,84
617,139,0,0,0,96,84
618,139,0,0,0,96,84
619,139,0,0,0,96,84
620,139,0,0,0,96,84
621,139,0,0,0,96,84
622,139,0,0,0,96,84
623,138,0,0,0,96,84
624,138,0,0,0,96,84
625,138,0,0,0,96,84
626,138,0,0,0,96,84
627,138,0,0,0,96,84
628,138,0,0,0,96,84
629,137,0,0,0,96,84
630,137,0,0,0,96,84
631,137,0,0,0,96,84
632,137,0,0,0,96,84
633,137,0,0,0,96,84
634,136,0,0,0,96,84
635,135,0,0,0,96,84
636,135,0,0,0,96,84
637,135,0,0,0,96,84
638,135,0,0,0,96,84
639,135,0,0,0,96,84
640,135,0,0,0,96,84
641,134,0,0,0,96,84
642,134,0,0,0,96,84
643,133,0,0,0,96,84
644,133,0,0,0,96,84
645,132,0,0,0,96,84
646,132,0,0,0,96,84
647,132,0,0,0,96,84
648,131,0,0,0,96,84
649,131,0,0,0,96,84
