Epoch,OnTrack,Input_Left,Input_Right,Reservoir,Output_Left,Output_Right
0,2,99,99,0,0,0
1,2,99,99,0,0,0
2,2,99,99,0,0,0
3,2,99,99,0,0,0
4,2,99,99,0,0,0
5,4,98,98,0,0,0
6,4,98,98,0,0,0
7,4,98,98,0,0,0
8,4,98,98,0,0,0
9,4,98,98,0,0,0
10,6,97,97,0,0,0
11,6,97,97,0,0,0
12,4,97,97,0,1,1
13,4,97,97,0,1,1
14,4,97,97,0,1,1
15,6,96,96,0,1,1
16,6,96,96,0,1,1
17,4,96,96,0,2,2
18,4,96,96,0,2,2
19,4,96,96,0,2,2
20,6,95,95,0,2,2
21,6,95,95,0,2,2
22,4,95,95,0,3,3
23,4,95,95,0,3,3
24,4,95,95,0,3,3
25,6,94,94,0,3,3
26,6,94,94,0,3,3
27,5,94,94,0,4,3
28,4,94,94,0,4,4
29,4,94,94,0,4,4
30,5,93,93,3,4,4
31,6,93,93,0,4,4
32,4,93,93,0,5,5
33,4,93,93,0,5,5
34,4,93,93,0,5,5
35,5,92,92,3,5,5
36,6,92,92,0,5,5
37,5,92,92,0,6,5
38,4,92,92,0,6,6
39,4,92,92,0,6,6
40,6,91,91,0,6,6
41,6,91,91,0,6,6
42,6,91,91,0,6,6
43,3,91,91,3,7,7
44,4,91,91,0,7,7
45,5,90,90,3,7,7
46,5,90,90,3,7,7
47,4,90,90,3,8,7
48,5,90,90,0,8,7
49,5,90,90,0,8,7
50,6,89,89,0,8,8
51,6,89,89,0,8,8
52,5,89,89,0,8,9
53,5,89,89,0,8,9
54,5,89,89,0,8,9
55,6,88,88,3,8,9
56,6,88,88,0,9,9
57,5,88,88,0,9,9
58,3,88,88,0,10,9
59,3,88,88,0,10,9
60,5,87,87,0,10,9
61,5,87,87,0,10,9
62,5,87,87,0,10,9
63,3,87,87,0,11,10
64,3,87,87,0,11,10
65,5,86,86,0,11,10
66,5,86,86,0,11,10
67,5,86,86,0,11,10
68,5,86,86,0,11,10
69,4,86,86,0,12,10
70,6,85,85,0,12,10
71,6,85,85,0,12,10
72,4,85,85,0,13,11
73,4,85,85,0,13,11
74,4,85,85,0,13,11
75,5,84,84,0,13,11
76,5,84,84,0,13,11
77,4,84,84,0,14,11
78,3,84,84,0,14,12
79,3,84,84,0,14,12
80,5,83,83,0,14,12
81,5,83,83,0,14,12
82,4,83,83,0,15,12
83,3,83,83,0,15,13
84,3,83,83,0,15,13
85,5,82,82,0,15,13
86,5,82,82,0,15,13
87,4,82,82,0,15,14
88,4,82,82,0,15,14
89,4,82,82,0,15,14
90,6,81,81,0,15,14
91,6,81,81,0,15,14
92,5,81,81,0,16,14
93,4,81,81,0,16,15
94,4,81,81,0,16,15
95,6,80,80,0,16,15
96,6,80,80,0,16,15
97,4,80,80,0,17,16
98,4,80,80,0,17,16
99,4,80,80,0,17,16
