Epoch,OnTrack,Input_Left,Input_Right,Reservoir,Output_Left,Output_Right
0,3,99,99,3,0,0
1,3,99,99,3,0,0
2,4,99,99,0,0,0
3,6,98,98,0,0,0
4,6,98,98,0,0,0
5,8,98,98,0,0,0
6,10,97,97,0,0,0
7,10,97,97,0,0,0
8,10,97,97,0,0,0
9,12,96,96,0,0,0
10,14,96,96,0,0,0
11,14,96,96,0,0,0
12,14,95,95,0,0,0
13,14,95,95,0,0,0
14,14,95,95,0,0,0
15,17,94,94,3,0,0
16,18,94,94,0,0,0
17,16,94,94,0,0,0
18,17,93,93,0,0,0
19,17,93,93,0,0,0
20,19,93,93,0,0,0
21,21,92,92,0,0,0
22,19,92,92,0,0,0
23,19,92,92,0,0,0
24,21,91,91,0,0,0
25,21,91,91,3,1,0
26,22,91,91,0,1,0
27,22,90,90,0,1,1
28,19,90,90,0,2,2
29,19,90,90,0,2,2
30,20,89,89,6,2,3
31,21,89,89,0,3,3
32,19,89,89,0,3,3
33,19,88,88,3,3,4
34,18,88,88,3,4,4
35,20,88,88,3,4,4
36,22,87,87,0,4,5
37,20,87,87,0,5,5
38,19,87,87,0,5,5
39,20,86,86,0,5,5
40,22,86,86,0,5,5
41,22,86,86,0,5,5
42,22,85,85,3,6,5
43,18,85,85,3,7,6
44,19,85,85,0,7,6
45,20,84,84,6,7,7
46,19,84,84,6,8,7
47,19,84,84,3,8,7
48,22,83,83,0,8,7
49,22,83,83,0,8,7
50,23,83,83,0,8,7
51,22,82,82,3,9,7
52,21,82,82,0,9,8
53,20,82,82,0,10,8
54,19,81,81,6,10,9
55,21,81,81,3,10,9
56,21,81,81,0,10,9
57,21,80,80,3,10,9
58,20,80,80,0,10,9
59,18,80,80,0,11,10
60,20,79,79,6,11,10
61,21,79,79,0,12,10
62,20,79,79,0,12,11
63,20,78,78,0,12,11
64,19,78,78,0,13,11
65,21,78,78,0,13,11
66,21,77,77,6,13,11
67,22,77,77,0,13,12
68,22,77,77,0,13,12
69,22,76,76,0,14,12
70,23,76,76,0,14,13
71,23,76,76,0,14,13
72,21,75,75,3,15,13
73,20,75,75,0,16,14
74,20,75,75,0,16,14
75,21,74,74,6,16,14
76,22,74,74,0,17,14
77,20,74,74,0,17,15
78,20,73,73,3,17,15
79,20,73,73,0,17,16
80,22,73,73,0,17,16
81,22,72,72,0,18,17
82,20,72,72,3,18,17
83,19,72,72,0,19,17
84,21,71,71,0,19,17
85,22,71,71,0,19,17
86,20,71,71,0,20,18
87,21,70,70,0,20,18
88,20,70,70,0,21,18
89,19,70,70,0,21,19
90,21,69,69,6,21,19
91,23,69,69,0,21,19
92,20,69,69,0,22,20
93,20,68,68,3,22,20
94,19,68,68,0,23,21
95,20,68,68,3,23,21
96,23,67,67,0,23,21
97,19,67,67,3,24,21
98,18,67,67,3,24,22
99,20,66,66,3,24,22
